"","year","state","division","total_population","fss","firearm_suicides","total_suicides","white_fss","nonwhite_fss"
"1",2010,"Alabama","East South Central",4779736,0.668630339,454,679,0.663974166,0.75999999
"2",2010,"Alaska","Pacific",710231,0.652439024,107,164,0.70588237,0.558139563
"3",2010,"Arizona","Mountain",6392017,0.567246112,620,1093,0.58793968,0.142857149
"4",2010,"Arkansas","West South Central",2915918,0.5950783,266,447,0.604819298,0.571428597
"5",2010,"California","Pacific",37253956,0.381293125,1492,3913,0.403403997,0.234042555
"6",2010,"Colorado","Mountain",5029196,0.493641618,427,865,0.504866183,0
"7",2010,"Connecticut","New England",3574097,0.311614731,110,353,0.294117659,0
"9",2010,"District of Columbia","South Atlantic",601723,0.317073171,13,41,0,0
"10",2010,"Florida","South Atlantic",18801310,0.521333811,1454,2789,0.523446441,0.455128193
"11",2010,"Georgia","South Atlantic",9687653,0.633715799,718,1133,0.640756309,0.600000024
"12",2010,"Hawaii","Pacific",1360301,0.178743961,37,207,0.188888893,0.150442481
"14",2010,"Illinois","East North Central",12830632,0.375212224,442,1178,0.378151268,0.283018857
"15",2010,"Indiana","East North Central",6483802,0.52662037,455,864,0.527338982,0.620689631
"17",2010,"Kansas","West North Central",2853118,0.523690773,210,401,0.538258553,0
"18",2010,"Kentucky","East South Central",4339367,0.640253566,404,631,0.64590162,0
"19",2010,"Louisiana","West South Central",4533372,0.691202873,385,557,0.703703701,0.75
"21",2010,"Maryland","South Atlantic",5773552,0.442231076,222,502,0.459057063,0.336956531
"22",2010,"Massachusetts","New England",6547629,0.230769231,138,598,0.235611513,0
"23",2010,"Michigan","East North Central",9883640,0.479266348,601,1254,0.477992952,0.366071433
"24",2010,"Minnesota","West North Central",5303925,0.467445743,280,599,0.482014388,0
"25",2010,"Mississippi","East South Central",2967297,0.659793814,256,388,0.647929013,0.744186044
"26",2010,"Missouri","West North Central",5988927,0.571261682,489,856,0.57303369,0.631578922
"27",2010,"Montana","Mountain",989415,0.621145374,141,227,0.645320177,0
"29",2010,"Nevada","Mountain",2700551,0.533210332,289,542,0.536489129,0
"31",2010,"New Jersey","Middle Atlantic",8791894,0.260445682,187,718,0.26991871,0.195876285
"32",2010,"New Mexico","Mountain",2059179,0.493946731,204,413,0.530054629,0
"33",2010,"New York","Middle Atlantic",19378102,0.297279793,459,1544,0.317771077,0.148148149
"34",2010,"North Carolina","South Atlantic",9535483,0.602214651,707,1174,0.609640837,0.49473685
"35",2010,"North Dakota","West North Central",672591,0.528301887,56,106,0.532608688,0
"36",2010,"Ohio","East North Central",11536504,0.503127172,724,1439,0.498514116,0.493827164
"37",2010,"Oklahoma","West South Central",3751351,0.613376835,376,613,0.606402993,0.532467544
"39",2010,"Pennsylvania","Middle Atlantic",12702379,0.483809524,762,1575,0.48677966,0.344086021
"41",2010,"South Carolina","South Atlantic",4625364,0.615384615,392,637,0.628571451,0.593220353
"42",2010,"South Dakota","West North Central",814180,0.464285714,65,140,0.540540516,0
"43",2010,"Tennessee","East South Central",6346105,0.620360551,585,943,0.620412827,0.566666663
"44",2010,"Texas","West South Central",25145561,0.589131187,1702,2889,0.588676393,0.581081092
"47",2010,"Virginia","South Atlantic",8001024,0.598130841,576,963,0.611708462,0.444444448
"48",2010,"Washington","Pacific",6724540,0.484848485,464,957,0.501718223,0
"50",2010,"Wisconsin","East North Central",5686986,0.481528662,378,785,0.487039566,0.270270258
"52",2011,"Alabama","East South Central",4802740,0.691131498,452,654,0.69655174,0.571428597
"53",2011,"Alaska","Pacific",722718,0.692307692,99,143,0.643678188,0.510638297
"54",2011,"Arizona","Mountain",6482505,0.581034483,674,1160,0.609315574,0.325842708
"55",2011,"Arkansas","West South Central",2937979,0.647186147,299,462,0.654545426,0.588235319
"56",2011,"California","Pacific",37691912,0.391391391,1564,3996,0.413119525,0.249551162
"57",2011,"Colorado","Mountain",5116796,0.485213582,443,913,0.491879344,0.34375
"58",2011,"Connecticut","New England",3580709,0.3,111,370,0.280346811,0
"61",2011,"Florida","South Atlantic",19057542,0.517361111,1490,2880,0.521173835,0.410404623
"62",2011,"Georgia","South Atlantic",9815210,0.641313742,742,1157,0.649694502,0.573964477
"63",2011,"Hawaii","Pacific",1374810,0.232044199,42,181,0.280487806,0.136842102
"65",2011,"Illinois","East North Central",12869259,0.376019576,461,1226,0.373417735,0.390909106
"66",2011,"Indiana","East North Central",6516922,0.466515323,411,881,0.46875,0.309523821
"69",2011,"Kentucky","East South Central",4369356,0.671111111,453,675,0.671317816,0.789473712
"70",2011,"Louisiana","West South Central",4574836,0.657940663,377,573,0.65553236,0.609195411
"72",2011,"Maryland","South Atlantic",5828289,0.435251799,242,556,0.457858771,0.321428567
"73",2011,"Massachusetts","New England",6587536,0.198290598,116,585,0.200364292,0
"74",2011,"Michigan","East North Central",9876187,0.510305029,619,1213,0.508675814,0.381818175
"75",2011,"Minnesota","West North Central",5344861,0.477744807,322,674,0.487261146,0
"76",2011,"Mississippi","East South Central",2978512,0.688946015,268,389,0.719763994,0.536585391
"77",2011,"Missouri","West North Central",6010688,0.549839228,513,933,0.54190588,0.641509414
"78",2011,"Montana","Mountain",998199,0.655172414,152,232,0.67289722,0
"80",2011,"Nevada","Mountain",2723322,0.533333333,272,510,0.534188032,0
"82",2011,"New Jersey","Middle Atlantic",8821155,0.263081395,181,688,0.271986961,0.14705883
"83",2011,"New Mexico","Mountain",2082224,0.526190476,221,420,0.552560627,0.292682916
"84",2011,"New York","Middle Atlantic",19465197,0.304951691,505,1656,0.33216539,0.109170303
"85",2011,"North Carolina","South Atlantic",9656401,0.604651163,728,1204,0.600925922,0.560344815
"87",2011,"Ohio","East North Central",11544951,0.495901639,726,1464,0.492262334,0.471153855
"88",2011,"Oklahoma","West South Central",3791508,0.643274854,440,684,0.647554815,0.526315808
"90",2011,"Pennsylvania","Middle Atlantic",12742886,0.506017192,883,1745,0.511585355,0.319999993
"92",2011,"South Carolina","South Atlantic",4679230,0.647416413,426,658,0.643717706,0.734375
"93",2011,"South Dakota","West North Central",824082,0.46875,60,128,0.490196079,0
"94",2011,"Tennessee","East South Central",6403353,0.618848168,591,955,0.621262431,0.600000024
"95",2011,"Texas","West South Central",25674681,0.582698962,1684,2890,0.591164351,0.452054799
"98",2011,"Virginia","South Atlantic",8096604,0.57359924,604,1053,0.590909064,0.352941185
"99",2011,"Washington","Pacific",6830038,0.488647581,495,1013,0.515675664,0
