"","year","state","handgun","long_gun","other","multiple * 2","Total_sales"
"1",2020,"Alabama",31103,28933,1855,2776,64667
"2",2020,"Alaska",3658,3822,430,466,8376
"3",2020,"Arizona",25093,14562,1942,2790,44387
"4",2020,"Arkansas",10987,12719,587,1020,25313
"5",2020,"California",59909,39389,6932,0,106230
"6",2020,"Colorado",25577,19716,2132,4584,52009
"7",2020,"Connecticut",6741,2694,1682,0,11117
"8",2020,"Delaware",3281,2610,200,350,6441
"9",2020,"District of Columbia",322,17,0,2,341
"10",2020,"Florida",81564,40115,5594,7466,134739
"11",2020,"Georgia",28405,20236,1326,2112,52079
"12",2020,"Guam",182,71,22,22,297
"13",2020,"Hawaii",0,0,0,0,0
"14",2020,"Idaho",9354,9550,809,952,20665
"15",2020,"Illinois",29133,16557,0,3400,49090
"16",2020,"Indiana",30336,21852,2192,2560,56940
"17",2020,"Iowa",312,4678,70,22,5082
"18",2020,"Kansas",9708,9941,893,1164,21706
"19",2020,"Kentucky",19170,17438,765,1846,39219
"20",2020,"Louisiana",19311,18379,1465,1930,41085
"21",2020,"Maine",5001,5320,434,524,11279
"22",2020,"Mariana Islands",13,11,5,0,29
"23",2020,"Maryland",10338,9565,407,24,20334
"24",2020,"Massachusetts",7790,3882,1067,626,13365
"25",2020,"Michigan",33647,29180,3121,2194,68142
"26",2020,"Minnesota",15976,14943,1658,1340,33917
"27",2020,"Mississippi",14651,16554,709,1338,33252
"28",2020,"Missouri",29358,26348,2683,3060,61449
"29",2020,"Montana",5858,7265,405,774,14302
"30",2020,"Nebraska",297,3662,39,16,4014
"31",2020,"Nevada",8205,4599,481,1058,14343
"32",2020,"New Hampshire",7660,4811,285,0,12756
"33",2020,"New Jersey",12667,7473,794,0,20934
"34",2020,"New Mexico",8979,6931,752,964,17626
"35",2020,"New York",10486,24664,3145,734,39029
"36",2020,"North Carolina",2647,28052,1607,460,32766
"37",2020,"North Dakota",2784,4076,217,270,7347
"38",2020,"Ohio",33723,27057,1804,2888,65472
"39",2020,"Oklahoma",18791,17433,2045,2254,40523
"40",2020,"Oregon",21533,16161,0,12,37706
"41",2020,"Pennsylvania",62948,29262,41,0,92251
"42",2020,"Puerto Rico",3569,241,72,86,3968
"43",2020,"Rhode Island",1794,1081,110,686,3671
"44",2020,"South Carolina",17908,13367,1011,1348,33634
"45",2020,"South Dakota",4259,5814,382,406,10861
"46",2020,"Tennessee",40019,32201,2195,0,74415
"47",2020,"Texas",79774,58650,5211,7144,150779
"48",2020,"Utah",9296,9136,695,0,19127
"49",2020,"Vermont",2351,2413,174,274,5212
"50",2020,"Virgin Islands",44,3,1,2,50
"51",2020,"Virginia",36502,26668,4634,0,67804
"52",2020,"Washington",27422,18368,4047,114,49951
"53",2020,"West Virginia",8706,10939,412,922,20979
"54",2020,"Wisconsin",23321,17480,1537,120,42458
"55",2020,"Wyoming",3998,4137,280,376,8791
"56",2020,"Alabama",27765,25924,1931,3038,58658
"57",2020,"Alaska",3474,3878,461,602,8415
"58",2020,"Arizona",25906,14698,2157,3208,45969
"59",2020,"Arkansas",10069,12954,599,1010,24632
"60",2020,"California",56793,37256,7391,0,101440
"61",2020,"Colorado",27091,20410,2421,4694,54616
"62",2020,"Connecticut",7253,2986,2115,0,12354
"63",2020,"Delaware",3863,2777,198,348,7186
"64",2020,"District of Columbia",332,11,0,10,353
"65",2020,"Florida",84366,40575,6090,8352,139383
"66",2020,"Georgia",28102,19042,1358,2410,50912
"67",2020,"Guam",205,99,32,18,354
"68",2020,"Hawaii",0,0,0,0,0
"69",2020,"Idaho",8946,9372,892,1110,20320
"70",2020,"Illinois",29335,17557,0,3780,50672
"71",2020,"Indiana",29416,24425,2231,2766,58838
"72",2020,"Iowa",365,5751,84,8,6208
"73",2020,"Kansas",10569,10435,981,1180,23165
"74",2020,"Kentucky",16578,17091,806,1640,36115
"75",2020,"Louisiana",17819,18448,1507,1932,39706
"76",2020,"Maine",4801,6062,436,610,11909
"77",2020,"Mariana Islands",10,3,0,0,13
"78",2020,"Maryland",10864,11038,764,18,22684
"79",2020,"Massachusetts",8817,4397,1216,784,15214
"80",2020,"Michigan",35190,35065,2866,2358,75479
"81",2020,"Minnesota",16316,17448,1506,1580,36850
"82",2020,"Mississippi",12893,15003,757,1282,29935
"83",2020,"Missouri",27413,27727,2932,2980,61052
"84",2020,"Montana",5060,6609,418,810,12897
"85",2020,"Nebraska",380,4117,45,16,4558
"86",2020,"Nevada",9055,4507,548,1130,15240
"87",2020,"New Hampshire",9055,5356,248,0,14659
"88",2020,"New Jersey",13826,8053,869,0,22748
"89",2020,"New Mexico",7277,5495,715,830,14317
"90",2020,"New York",10393,28951,3768,810,43922
"91",2020,"North Carolina",2770,28807,1852,482,33911
"92",2020,"North Dakota",2738,4153,211,350,7452
"93",2020,"Ohio",37382,32959,2122,3726,76189
"94",2020,"Oklahoma",18163,16961,1890,2508,39522
"95",2020,"Oregon",21990,15648,0,8,37646
"96",2020,"Pennsylvania",75428,34686,29,0,110143
"97",2020,"Puerto Rico",2883,217,60,52,3212
"98",2020,"Rhode Island",2033,1419,158,1050,4660
"99",2020,"South Carolina",19010,13569,1136,1574,35289
